Charecter,CODE,Frequency
" ",101,1251
"i",001,855
"e",1111,764
"o",1101,702
"t",1100,611
"s",1000,551
"a",0110,520
"n",0101,491
"r",0000,427
"c",11101,397
"d",10011,305
"f",10010,304
"h",01111,274
"l",01001,245
"p",01000,244
"g",00010,185
"m",111000,152
"y",011101,151
"u",011100,123
"v",000110,121
".",0001111,61
",",0001110,61
"-",11100111,60
"q",11100101,31
"F",11100100,31
"w",111001101,30
"B",111001100,30
